Wilayah;Tahun;Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan);Garis Kemiskinan Non Makanan (Rupiah/Kapita/Bulan);Jumlah Penduduk Miskin (Ribu Jiwa);Persentase Masyarakat Miskin;Gini Rasio
ACEH;2022;438658;140570;806.82;14.64;0.311
SUMATERA UTARA;2022;423760;137244;1268.19;8.42;0.312
SUMATERA BARAT;2022;462910;148030;335.21;5.92;0.300
RIAU;2022;441535;164377;485.03;6.78;0.326
JAMBI;2022;411537;134333;279.37;7.62;0.320
SUMATERA SELATAN;2022;360600;124469;1044.69;11.90;0.339
BENGKULU;2022;435393;155362;297.23;14.62;0.315
LAMPUNG;2022;384769;129270;1002.41;11.57;0.314
KEP. BANGKA BELITUNG;2022;579537;221901;66.78;4.45;0.236
KEP. RIAU;2022;458362;225707;151.68;6.24;0.342
DKI JAKARTA;2022;508239;230716;502.04;4.69;0.423
JAWA BARAT;2022;334224;118356;4070.98;8.06;0.417
JAWA TENGAH;2022;329511;109322;3831.44;10.93;0.374
DI YOGYAKARTA;2022;378902;142770;454.76;11.34;0.439
JAWA TIMUR;2022;348399;112510;4181.29;10.38;0.371
BANTEN;2022;412182;158185;814.02;6.16;0.363
BALI;2022;338417;146604;205.68;4.57;0.363
NUSA TENGGARA BARAT;2022;342789;117038;731.94;13.68;0.373
NUSA TENGGARA TIMUR;2022;358224;102599;1131.62;20.05;0.334
KALIMANTAN BARAT;2022;397561;123099;350.25;6.73;0.314
KALIMANTAN TENGAH;2022;426914;121903;145.10;5.28;0.319
KALIMANTAN SELATAN;2022;396308;156765;195.70;4.49;0.317
KALIMANTAN TIMUR;2022;513874;214334;236.25;6.31;0.327
KALIMANTAN UTARA;2022;566292;206622;49.46;6.77;0.272
SULAWESI UTARA;2022;331904;95112;185.14;7.28;0.365
SULAWESI TENGAH;2022;404034;126217;388.35;12.33;0.308
SULAWESI SELATAN;2022;299433;100322;777.44;8.63;0.377
SULAWESI TENGGARA;2022;304126;100011;309.79;11.17;0.387
GORONTALO;2022;317319;94588;185.44;15.42;0.418
SULAWESI BARAT;2022;314221;90966;165.72;11.75;0.362
MALUKU;2022;468335;162991;290.57;15.97;0.301
MALUKU UTARA;2022;399127;115255;79.87;6.23;0.279
PAPUA BARAT;2022;503916;161688;218.78;21.33;0.370
PAPUA;2022;471880;157295;922.12;26.56;0.406
INDONESIA;2022;374454;131014;26161.16;9.54;0.384
ACEH;2021;410420;130689;834.24;15.33;0.324
SUMATERA UTARA;2021;395104;130652;1343.86;9.01;0.314
SUMATERA BARAT;2021;431644;137059;370.67;6.63;0.306
RIAU;2021;413593;152344;500.81;7.12;0.326
JAMBI;2021;385360;120995;293.86;8.09;0.321
SUMATERA SELATAN;2021;340567;116888;1113.76;12.84;0.341
BENGKULU;2021;405468;143466;306;15.22;0.326
LAMPUNG;2021;356329;115110;1083.93;12.62;0.323
KEP. BANGKA BELITUNG;2021;544017;208186;72.71;4.9;0.256
KEP. RIAU;2021;429298;213127;144.46;6.12;0.343
DKI JAKARTA;2021;479332;218306;501.92;4.72;0.409
JAWA BARAT;2021;314572;112830;4195.34;8.4;0.412
JAWA TENGAH;2021;305149;104044;4109.75;11.79;0.372
DI YOGYAKARTA;2021;350057;132798;506.45;12.8;0.441
JAWA TIMUR;2021;322671;106462;4572.73;11.4;0.374
BANTEN;2021;382584;147779;867.23;6.66;0.365
BALI;2021;312020;140201;201.97;4.53;0.378
NUSA TENGGARA BARAT;2021;318425;105080;746.66;14.14;0.381
NUSA TENGGARA TIMUR;2021;324545;90571;1169.31;20.99;0.346
KALIMANTAN BARAT;2021;370423;113031;367.89;7.15;0.313
KALIMANTAN TENGAH;2021;396514;110468;140.04;5.16;0.323
KALIMANTAN SELATAN;2021;371204;147946;208.11;4.83;0.33
KALIMANTAN TIMUR;2021;485445;203590;241.77;6.54;0.334
KALIMANTAN UTARA;2021;522517;188477;52.86;7.36;0.292
SULAWESI UTARA;2021;317970;92835;196.35;7.77;0.365
SULAWESI TENGAH;2021;380991;115881;404.44;13;0.316
SULAWESI SELATAN;2021;279240;93251;784.98;8.78;0.382
SULAWESI TENGGARA;2021;283400;95189;318.7;11.66;0.39
GORONTALO;2021;303108;86719;186.29;15.61;0.408
SULAWESI BARAT;2021;279747;84504;157.19;11.29;0.356
MALUKU;2021;436876;150854;321.81;17.87;0.314
MALUKU UTARA;2021;378475;110900;87.16;6.89;0.3
PAPUA BARAT;2021;475394;156024;219.07;21.84;0.38
PAPUA;2021;445607;146352;920.44;26.86;0.397
INDONESIA;2021;349474;123051;27542.77;10.14;0.384
ACEH;2020;397032;125093;814.91;14.99;0.323
SUMATERA UTARA;2020;376790;126114;1283.29;8.75;0.316
SUMATERA BARAT;2020;413832;130483;344.23;6.28;0.305
RIAU;2020;396883;147175;483.39;6.82;0.329
JAMBI;2020;368137;115405;277.8;7.58;0.32
SUMATERA SELATAN;2020;327021;112021;1081.58;12.66;0.339
BENGKULU;2020;389613;137419;302.58;15.03;0.334
LAMPUNG;2020;342151;111581;1049.32;12.34;0.327
KEP. BANGKA BELITUNG;2020;524371;197084;68.39;4.53;0.262
KEP. RIAU;2020;410225;204502;131.97;5.92;0.339
DKI JAKARTA;2020;466156;214245;480.86;4.53;0.399
JAWA BARAT;2020;301806;109182;3920.23;7.88;0.403
JAWA TENGAH;2020;294095;101313;3980.9;11.41;0.362
DI YOGYAKARTA;2020;334461;129019;475.72;12.28;0.434
JAWA TIMUR;2020;311891;104110;4419.1;11.09;0.366
BANTEN;2020;364725;143367;775.99;5.92;0.363
BALI;2020;298945;130889;165.19;3.78;0.369
NUSA TENGGARA BARAT;2020;302545;102397;713.89;13.97;0.376
NUSA TENGGARA TIMUR;2020;316130;86875;1153.76;20.9;0.354
KALIMANTAN BARAT;2020;361075;110125;366.77;7.17;0.317
KALIMANTAN TENGAH;2020;382954;102680;132.94;4.82;0.329
KALIMANTAN SELATAN;2020;355813;141449;187.87;4.38;0.332
KALIMANTAN TIMUR;2020;463823;198479;230.26;6.1;0.328
KALIMANTAN UTARA;2020;499050;181985;51.79;6.8;0.292
SULAWESI UTARA;2020;301032;90165;192.37;7.62;0.37
SULAWESI TENGAH;2020;363287;111340;398.73;12.92;0.326
SULAWESI SELATAN;2020;263690;86574;776.83;8.72;0.389
SULAWESI TENGGARA;2020;268511;87933;301.82;11;0.389
GORONTALO;2020;287272;81718;185.02;15.22;0.408
SULAWESI BARAT;2020;270655;80088;152.02;10.87;0.364
MALUKU;2020;419778;135419;318.18;17.44;0.318
MALUKU UTARA;2020;358264;104375;86.37;6.78;0.308
PAPUA BARAT;2020;463545;147343;208.58;21.37;0.382
PAPUA;2020;423243;139749;911.37;26.64;0.392
INDONESIA;2020;335793;118859;26424.02;9.78;0.381
ACEH;2019;370093;116842;819.44;15.32;0.32
SUMATERA UTARA;2019;351215;114907;1282.04;8.83;0.32
SUMATERA BARAT;2019;382333;121319;348.22;6.42;0.31
RIAU;2019;365515;135097;490.72;7.08;0.33
JAMBI;2019;343783;104725;274.32;7.6;0.32
SUMATERA SELATAN;2019;306087;104445;1073.74;12.71;0.33
BENGKULU;2019;369211;130449;302.3;15.23;0.34
LAMPUNG;2019;313620;104689;1063.66;12.62;0.33
KEP. BANGKA BELITUNG;2019;492693;185024;68.38;4.62;0.27
KEP. RIAU;2019;396007;198052;128.46;5.9;0.34
DKI JAKARTA;2019;429915;207345;365.55;3.47;0.39
JAWA BARAT;2019;281693;104505;3399.16;6.91;0.4
JAWA TENGAH;2019;272080;97305;3743.23;10.8;0.36
DI YOGYAKARTA;2019;310947;121079;448.47;11.7;0.42
JAWA TIMUR;2019;298341;99346;4112.25;10.37;0.37
BANTEN;2019;331601;131126;654.46;5.09;0.37
BALI;2019;275834;124790;163.85;3.79;0.37
NUSA TENGGARA BARAT;2019;286871;98009;735.96;14.56;0.38
NUSA TENGGARA TIMUR;2019;292305;81617;1146.32;21.09;0.36
KALIMANTAN BARAT;2019;340782;97773;378.41;7.49;0.33
KALIMANTAN TENGAH;2019;346454;91794;134.59;4.98;0.34
KALIMANTAN SELATAN;2019;325590;131631;192.48;4.55;0.33
KALIMANTAN TIMUR;2019;429165;179991;219.92;5.94;0.33
KALIMANTAN UTARA;2019;478280;173136;48.78;6.63;0.3
SULAWESI UTARA;2019;286215;85067;191.7;7.66;0.37
SULAWESI TENGAH;2019;336739;104297;410.36;13.48;0.33
SULAWESI SELATAN;2019;247704;82176;767.8;8.69;0.39
SULAWESI TENGGARA;2019;245761;81641;302.58;11.24;0.4
GORONTALO;2019;258158;74912;186.03;15.52;0.41
SULAWESI BARAT;2019;254518;73626;151.4;11.02;0.37
MALUKU;2019;385303;123475;317.69;17.69;0.32
MALUKU UTARA;2019;346075;98575;84.6;6.77;0.31
PAPUA BARAT;2019;441803;131510;211.5;22.17;0.39
PAPUA;2019;404631;135468;926.36;27.53;0.39
INDONESIA;2019;313232;112018;25144.72;9.41;0.38
ACEH;2018;353291;111335;839.49;15.97;0.325
SUMATERA UTARA;2018;331105;104865;1324.98;9.22;0.318
SUMATERA BARAT;2018;364235;112319;357.13;6.65;0.321
RIAU;2018;351845;128099;500.44;7.39;0.327
JAMBI;2018;326180;100071;281.69;7.92;0.334
SUMATERA SELATAN;2018;297528;99621;1068.27;12.8;0.358
BENGKULU;2018;363700;117725;301.81;15.43;0.362
LAMPUNG;2018;301234;101073;1097.05;13.14;0.346
KEP. BANGKA BELITUNG;2018;457834;173633;76.26;5.25;0.281
