           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";410420;ACEH
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";395104;"SUMATERA UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";431644;"SUMATERA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";413593;RIAU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";385360;JAMBI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";340567;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";405468;BENGKULU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";356329;LAMPUNG
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";544017;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";429298;"KEP. RIAU"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";479332;"DKI JAKARTA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";314572;"JAWA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";305149;"JAWA TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";350057;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";322671;"JAWA TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";382584;BANTEN
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";312020;BALI
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";318425;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";324545;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";370423;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";396514;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";371204;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";485445;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";522517;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";317970;"SULAWESI UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";380991;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";279240;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";283400;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";303108;GORONTALO
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";279747;"SULAWESI BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";436876;MALUKU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";378475;"MALUKU UTARA"
