           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";130689;ACEH
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";130652;"SUMATERA UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";137059;"SUMATERA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";152344;RIAU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";120995;JAMBI
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";116888;"SUMATERA SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";143466;BENGKULU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";115110;LAMPUNG
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";208186;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";213127;"KEP. RIAU"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";218306;"DKI JAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";112830;"JAWA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";104044;"JAWA TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";132798;"DI YOGYAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";106462;"JAWA TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";147779;BANTEN
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";140201;BALI
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";105080;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2021;"Semester 1 (Maret)";90571;"NUSA TENGGARA TIMUR"
